"domain","avg_alignment","comparison"
"Agreeableness",0.679380873410724,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Conscientiousness",0.71403399668325,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Extraversion",0.760606688778331,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Negative_Emotionality",0.69212962962963,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Open_Mindedness",0.662866224433389,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Agreeableness",0.8125,"llm_src_cn_DeepSeek_vs_llm_tgt_en_DeepSeek"
"Conscientiousness",0.9375,"llm_src_cn_DeepSeek_vs_llm_tgt_en_DeepSeek"
"Extraversion",0.9375,"llm_src_cn_DeepSeek_vs_llm_tgt_en_DeepSeek"
"Negative_Emotionality",0.979166666666667,"llm_src_cn_DeepSeek_vs_llm_tgt_en_DeepSeek"
"Open_Mindedness",0.854166666666667,"llm_src_cn_DeepSeek_vs_llm_tgt_en_DeepSeek"
"Agreeableness",0.875,"llm_src_cn_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Conscientiousness",0.9375,"llm_src_cn_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Extraversion",0.958333333333333,"llm_src_cn_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Negative_Emotionality",0.916666666666667,"llm_src_cn_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Open_Mindedness",0.916666666666667,"llm_src_cn_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Agreeableness",0.832916666666667,"llm_src_cn_DeepSeek_vs_llm_tgt_tr_DeepSeek"
"Conscientiousness",0.875625,"llm_src_cn_DeepSeek_vs_llm_tgt_tr_DeepSeek"
"Extraversion",0.874583333333333,"llm_src_cn_DeepSeek_vs_llm_tgt_tr_DeepSeek"
"Negative_Emotionality",0.91625,"llm_src_cn_DeepSeek_vs_llm_tgt_tr_DeepSeek"
"Open_Mindedness",0.876041666666667,"llm_src_cn_DeepSeek_vs_llm_tgt_tr_DeepSeek"
