"item","domain","wasserstein","alignment","comparison"
"Extraversion_1","Extraversion",0.900497512437811,0.774875621890547,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Extraversion_2","Extraversion",0.721393034825871,0.819651741293532,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Extraversion_3","Extraversion",1.32504145936982,0.668739635157546,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Extraversion_4","Extraversion",0.829187396351575,0.792703150912106,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Extraversion_5","Extraversion",0.75787728026534,0.810530679933665,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Extraversion_6","Extraversion",1.41127694859038,0.647180762852405,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Extraversion_7","Extraversion",0.857379767827529,0.785655058043118,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Extraversion_8","Extraversion",1.32006633499171,0.669983416252073,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Extraversion_9","Extraversion",0.791044776119403,0.802238805970149,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Extraversion_10","Extraversion",0.777777777777778,0.805555555555556,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Extraversion_11","Extraversion",1.11442786069652,0.721393034825871,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Extraversion_12","Extraversion",0.684908789386401,0.8287728026534,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Agreeableness_1","Agreeableness",0.525704809286899,0.868573797678275,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Agreeableness_2","Agreeableness",0.514096185737977,0.871475953565506,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Agreeableness_3","Agreeableness",1.70149253731343,0.574626865671642,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Agreeableness_4","Agreeableness",3.19402985074627,0.201492537313433,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Agreeableness_5","Agreeableness",1.7379767827529,0.565505804311774,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Agreeableness_6","Agreeableness",0.621890547263682,0.84452736318408,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Agreeableness_7","Agreeableness",0.530679933665008,0.867330016583748,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Agreeableness_8","Agreeableness",1.62852404643449,0.592868988391376,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Agreeableness_9","Agreeableness",1.91708126036484,0.520729684908789,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Agreeableness_10","Agreeableness",1.67495854063018,0.581260364842454,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Agreeableness_11","Agreeableness",0.595356550580431,0.851160862354892,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Agreeableness_12","Agreeableness",0.747927031509121,0.81301824212272,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Conscientiousness_1","Conscientiousness",1.59535655058043,0.601160862354892,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Conscientiousness_2","Conscientiousness",1.25041459369818,0.687396351575456,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Conscientiousness_3","Conscientiousness",0.485903814262023,0.878524046434494,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Conscientiousness_4","Conscientiousness",0.600331674958541,0.849917081260365,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Conscientiousness_5","Conscientiousness",1.67164179104478,0.582089552238806,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Conscientiousness_6","Conscientiousness",1.81260364842454,0.546849087893864,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Conscientiousness_7","Conscientiousness",0.733001658374793,0.816749585406302,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Conscientiousness_8","Conscientiousness",0.601990049751244,0.849502487562189,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Conscientiousness_9","Conscientiousness",1.60364842454395,0.599087893864013,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Conscientiousness_10","Conscientiousness",1.19734660033168,0.700663349917081,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Conscientiousness_11","Conscientiousness",1.37810945273632,0.65547263681592,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Conscientiousness_12","Conscientiousness",0.796019900497512,0.800995024875622,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Negative_Emotionality_1","Negative_Emotionality",0.779436152570481,0.80514096185738,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Negative_Emotionality_2","Negative_Emotionality",1.74958540630182,0.562603648424544,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Negative_Emotionality_3","Negative_Emotionality",0.854063018242123,0.786484245439469,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Negative_Emotionality_4","Negative_Emotionality",1.31011608623549,0.672470978441128,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Negative_Emotionality_5","Negative_Emotionality",1.25538971807629,0.686152570480929,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Negative_Emotionality_6","Negative_Emotionality",1.39966832504146,0.650082918739635,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Negative_Emotionality_7","Negative_Emotionality",1.25207296849088,0.68698175787728,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Negative_Emotionality_8","Negative_Emotionality",1.45273631840796,0.63681592039801,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Negative_Emotionality_9","Negative_Emotionality",0.728026533996683,0.817993366500829,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Negative_Emotionality_10","Negative_Emotionality",0.948590381426202,0.762852404643449,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Negative_Emotionality_11","Negative_Emotionality",1.45605306799337,0.635986733001658,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Negative_Emotionality_12","Negative_Emotionality",1.59203980099502,0.601990049751244,"llm_src_cn_DeepSeek_vs_human_src_cn"
"Open_Mindedness_1","Open_Mindedness",1.64013266998342,0.589966832504146,"llm_src_cn_DeepSeek_vs_human_src_cn"
