"domain","avg_alignment","comparison"
"Agreeableness",0.61153536977492,"llm_src_en_DeepSeek_vs_human_src_en"
"Conscientiousness",0.717175777063237,"llm_src_en_DeepSeek_vs_human_src_en"
"Extraversion",0.696409431939979,"llm_src_en_DeepSeek_vs_human_src_en"
"Negative_Emotionality",0.655345659163987,"llm_src_en_DeepSeek_vs_human_src_en"
"Open_Mindedness",0.570806538049303,"llm_src_en_DeepSeek_vs_human_src_en"
"Agreeableness",0.8125,"llm_src_en_DeepSeek_vs_llm_tgt_cn_DeepSeek"
"Conscientiousness",0.9375,"llm_src_en_DeepSeek_vs_llm_tgt_cn_DeepSeek"
"Extraversion",0.9375,"llm_src_en_DeepSeek_vs_llm_tgt_cn_DeepSeek"
"Negative_Emotionality",0.979166666666667,"llm_src_en_DeepSeek_vs_llm_tgt_cn_DeepSeek"
"Open_Mindedness",0.854166666666667,"llm_src_en_DeepSeek_vs_llm_tgt_cn_DeepSeek"
"Agreeableness",0.9375,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Conscientiousness",0.958333333333333,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Extraversion",0.979166666666667,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Negative_Emotionality",0.9375,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Open_Mindedness",0.895833333333333,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Agreeableness",0.9375,"llm_src_en_DeepSeek_vs_llm_tgt_tr_DeepSeek"
"Conscientiousness",0.896041666666667,"llm_src_en_DeepSeek_vs_llm_tgt_tr_DeepSeek"
"Extraversion",0.93625,"llm_src_en_DeepSeek_vs_llm_tgt_tr_DeepSeek"
"Negative_Emotionality",0.937083333333333,"llm_src_en_DeepSeek_vs_llm_tgt_tr_DeepSeek"
"Open_Mindedness",0.936875,"llm_src_en_DeepSeek_vs_llm_tgt_tr_DeepSeek"
