"item","domain","wasserstein","alignment","comparison"
"Extraversion_1","Extraversion",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Extraversion_2","Extraversion",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Extraversion_3","Extraversion",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Extraversion_4","Extraversion",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Extraversion_5","Extraversion",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Extraversion_6","Extraversion",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Extraversion_7","Extraversion",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Extraversion_8","Extraversion",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Extraversion_9","Extraversion",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Extraversion_10","Extraversion",1,0.75,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Extraversion_11","Extraversion",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Extraversion_12","Extraversion",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Agreeableness_1","Agreeableness",1,0.75,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Agreeableness_2","Agreeableness",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Agreeableness_3","Agreeableness",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Agreeableness_4","Agreeableness",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Agreeableness_5","Agreeableness",1,0.75,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Agreeableness_6","Agreeableness",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Agreeableness_7","Agreeableness",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Agreeableness_8","Agreeableness",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Agreeableness_9","Agreeableness",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Agreeableness_10","Agreeableness",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Agreeableness_11","Agreeableness",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Agreeableness_12","Agreeableness",1,0.75,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Conscientiousness_1","Conscientiousness",1,0.75,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Conscientiousness_2","Conscientiousness",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Conscientiousness_3","Conscientiousness",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Conscientiousness_4","Conscientiousness",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Conscientiousness_5","Conscientiousness",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Conscientiousness_6","Conscientiousness",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Conscientiousness_7","Conscientiousness",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Conscientiousness_8","Conscientiousness",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Conscientiousness_9","Conscientiousness",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Conscientiousness_10","Conscientiousness",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Conscientiousness_11","Conscientiousness",1,0.75,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Conscientiousness_12","Conscientiousness",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Negative_Emotionality_1","Negative_Emotionality",1,0.75,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Negative_Emotionality_2","Negative_Emotionality",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Negative_Emotionality_3","Negative_Emotionality",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Negative_Emotionality_4","Negative_Emotionality",1,0.75,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Negative_Emotionality_5","Negative_Emotionality",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Negative_Emotionality_6","Negative_Emotionality",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Negative_Emotionality_7","Negative_Emotionality",1,0.75,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Negative_Emotionality_8","Negative_Emotionality",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Negative_Emotionality_9","Negative_Emotionality",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Negative_Emotionality_10","Negative_Emotionality",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Negative_Emotionality_11","Negative_Emotionality",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Negative_Emotionality_12","Negative_Emotionality",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Open_Mindedness_1","Open_Mindedness",1,0.75,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Open_Mindedness_2","Open_Mindedness",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Open_Mindedness_3","Open_Mindedness",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Open_Mindedness_4","Open_Mindedness",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Open_Mindedness_5","Open_Mindedness",1,0.75,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Open_Mindedness_6","Open_Mindedness",1,0.75,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Open_Mindedness_7","Open_Mindedness",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Open_Mindedness_8","Open_Mindedness",1,0.75,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Open_Mindedness_9","Open_Mindedness",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Open_Mindedness_10","Open_Mindedness",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Open_Mindedness_11","Open_Mindedness",1,0.75,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Open_Mindedness_12","Open_Mindedness",0,1,"llm_src_en_DeepSeek_vs_llm_tgt_es_DeepSeek"
