"domain","avg_alignment","comparison"
"Agreeableness",0.784522251308901,"llm_src_es_DeepSeek_vs_human_src_es"
"Conscientiousness",0.758616928446771,"llm_src_es_DeepSeek_vs_human_src_es"
"Extraversion",0.789739674229203,"llm_src_es_DeepSeek_vs_human_src_es"
"Negative_Emotionality",0.713805264688773,"llm_src_es_DeepSeek_vs_human_src_es"
"Open_Mindedness",0.797011343804538,"llm_src_es_DeepSeek_vs_human_src_es"
"Agreeableness",0.875,"llm_src_es_DeepSeek_vs_llm_tgt_cn_DeepSeek"
"Conscientiousness",0.9375,"llm_src_es_DeepSeek_vs_llm_tgt_cn_DeepSeek"
"Extraversion",0.958333333333333,"llm_src_es_DeepSeek_vs_llm_tgt_cn_DeepSeek"
"Negative_Emotionality",0.916666666666667,"llm_src_es_DeepSeek_vs_llm_tgt_cn_DeepSeek"
"Open_Mindedness",0.916666666666667,"llm_src_es_DeepSeek_vs_llm_tgt_cn_DeepSeek"
"Agreeableness",0.9375,"llm_src_es_DeepSeek_vs_llm_tgt_en_DeepSeek"
"Conscientiousness",0.958333333333333,"llm_src_es_DeepSeek_vs_llm_tgt_en_DeepSeek"
"Extraversion",0.979166666666667,"llm_src_es_DeepSeek_vs_llm_tgt_en_DeepSeek"
"Negative_Emotionality",0.9375,"llm_src_es_DeepSeek_vs_llm_tgt_en_DeepSeek"
"Open_Mindedness",0.895833333333333,"llm_src_es_DeepSeek_vs_llm_tgt_en_DeepSeek"
"Agreeableness",0.957916666666667,"llm_src_es_DeepSeek_vs_llm_tgt_tr_DeepSeek"
"Conscientiousness",0.896458333333333,"llm_src_es_DeepSeek_vs_llm_tgt_tr_DeepSeek"
"Extraversion",0.915833333333333,"llm_src_es_DeepSeek_vs_llm_tgt_tr_DeepSeek"
"Negative_Emotionality",0.9575,"llm_src_es_DeepSeek_vs_llm_tgt_tr_DeepSeek"
"Open_Mindedness",0.916875,"llm_src_es_DeepSeek_vs_llm_tgt_tr_DeepSeek"
