"domain","avg_alignment","comparison"
"Agreeableness",0.685842450765864,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Conscientiousness",0.756375364697301,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Extraversion",0.762874726477024,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Negative_Emotionality",0.774196754194019,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Open_Mindedness",0.624605671043034,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Agreeableness",0.832916666666667,"llm_src_tr_DeepSeek_vs_llm_tgt_cn_DeepSeek"
"Conscientiousness",0.875625,"llm_src_tr_DeepSeek_vs_llm_tgt_cn_DeepSeek"
"Extraversion",0.874583333333333,"llm_src_tr_DeepSeek_vs_llm_tgt_cn_DeepSeek"
"Negative_Emotionality",0.91625,"llm_src_tr_DeepSeek_vs_llm_tgt_cn_DeepSeek"
"Open_Mindedness",0.876041666666667,"llm_src_tr_DeepSeek_vs_llm_tgt_cn_DeepSeek"
"Agreeableness",0.9375,"llm_src_tr_DeepSeek_vs_llm_tgt_en_DeepSeek"
"Conscientiousness",0.896041666666667,"llm_src_tr_DeepSeek_vs_llm_tgt_en_DeepSeek"
"Extraversion",0.93625,"llm_src_tr_DeepSeek_vs_llm_tgt_en_DeepSeek"
"Negative_Emotionality",0.937083333333333,"llm_src_tr_DeepSeek_vs_llm_tgt_en_DeepSeek"
"Open_Mindedness",0.936875,"llm_src_tr_DeepSeek_vs_llm_tgt_en_DeepSeek"
"Agreeableness",0.957916666666667,"llm_src_tr_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Conscientiousness",0.896458333333333,"llm_src_tr_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Extraversion",0.915833333333333,"llm_src_tr_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Negative_Emotionality",0.9575,"llm_src_tr_DeepSeek_vs_llm_tgt_es_DeepSeek"
"Open_Mindedness",0.916875,"llm_src_tr_DeepSeek_vs_llm_tgt_es_DeepSeek"
