"item","domain","wasserstein","alignment","comparison"
"Extraversion_1","Extraversion",2.15973741794311,0.460065645514223,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Extraversion_2","Extraversion",0.787592997811816,0.803101750547046,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Extraversion_3","Extraversion",0.946389496717724,0.763402625820569,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Extraversion_4","Extraversion",0.912472647702407,0.771881838074398,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Extraversion_5","Extraversion",1.11144420131291,0.722138949671773,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Extraversion_6","Extraversion",0.843391684901532,0.789152078774617,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Extraversion_7","Extraversion",0.785557986870897,0.803610503282276,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Extraversion_8","Extraversion",0.761487964989059,0.809628008752735,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Extraversion_9","Extraversion",0.678183807439825,0.830454048140044,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Extraversion_10","Extraversion",0.800722100656455,0.799819474835886,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Extraversion_11","Extraversion",0.838074398249453,0.790481400437637,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Extraversion_12","Extraversion",0.756958424507659,0.810760393873085,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Agreeableness_1","Agreeableness",0.567833698030635,0.858041575492341,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Agreeableness_2","Agreeableness",1.5109409190372,0.6222647702407,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Agreeableness_3","Agreeableness",0.808380743982495,0.797904814004376,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Agreeableness_4","Agreeableness",1.10393873085339,0.724015317286652,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Agreeableness_5","Agreeableness",0.760240700218818,0.809939824945295,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Agreeableness_6","Agreeableness",1.65426695842451,0.586433260393873,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Agreeableness_7","Agreeableness",1.55032822757112,0.612417943107221,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Agreeableness_8","Agreeableness",1.23413566739606,0.691466083150985,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Agreeableness_9","Agreeableness",1.44857768052516,0.637855579868709,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Agreeableness_10","Agreeableness",1.09299781181619,0.726750547045952,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Agreeableness_11","Agreeableness",1.63457330415755,0.591356673960613,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Agreeableness_12","Agreeableness",1.71334792122538,0.571663019693654,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Conscientiousness_1","Conscientiousness",1.09080962800875,0.727297592997812,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Conscientiousness_2","Conscientiousness",1.22194748358862,0.694513129102845,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Conscientiousness_3","Conscientiousness",0.525164113785558,0.86870897155361,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Conscientiousness_4","Conscientiousness",0.75164113785558,0.812089715536105,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Conscientiousness_5","Conscientiousness",1.07643326039387,0.730891684901532,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Conscientiousness_6","Conscientiousness",0.983435448577681,0.75414113785558,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Conscientiousness_7","Conscientiousness",0.689277899343545,0.827680525164114,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Conscientiousness_8","Conscientiousness",0.584245076586433,0.853938730853392,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Conscientiousness_9","Conscientiousness",1.57002188183807,0.607494529540481,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Conscientiousness_10","Conscientiousness",0.785557986870897,0.803610503282276,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Conscientiousness_11","Conscientiousness",1.66177242888403,0.584556892778993,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Conscientiousness_12","Conscientiousness",0.753676148796499,0.811580962800875,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Negative_Emotionality_1","Negative_Emotionality",0.935448577680525,0.766137855579869,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Negative_Emotionality_2","Negative_Emotionality",0.830415754923413,0.792396061269147,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Negative_Emotionality_3","Negative_Emotionality",0.789934354485777,0.802516411378556,"llm_src_tr_DeepSeek_vs_human_src_tr"
"Negative_Emotionality_4","Negative_Emotionality",0.785404814004376,0.803648796498906,"llm_src_tr_DeepSeek_vs_human_src_tr"
