"domain","avg_alignment","comparison"
"Agreeableness",0.646444168048646,"llm_src_cn_gpt_vs_human_src_cn"
"Conscientiousness",0.692749447208402,"llm_src_cn_gpt_vs_human_src_cn"
"Extraversion",0.747010433941404,"llm_src_cn_gpt_vs_human_src_cn"
"Negative_Emotionality",0.699418532338308,"llm_src_cn_gpt_vs_human_src_cn"
"Open_Mindedness",0.668146420674406,"llm_src_cn_gpt_vs_human_src_cn"
"Agreeableness",0.944791666666667,"llm_src_cn_gpt_vs_llm_tgt_en_gpt"
"Conscientiousness",0.958958333333333,"llm_src_cn_gpt_vs_llm_tgt_en_gpt"
"Extraversion",0.950416666666667,"llm_src_cn_gpt_vs_llm_tgt_en_gpt"
"Negative_Emotionality",0.928333333333333,"llm_src_cn_gpt_vs_llm_tgt_en_gpt"
"Open_Mindedness",0.88125,"llm_src_cn_gpt_vs_llm_tgt_en_gpt"
"Agreeableness",0.893958333333333,"llm_src_cn_gpt_vs_llm_tgt_es_gpt"
"Conscientiousness",0.925416666666667,"llm_src_cn_gpt_vs_llm_tgt_es_gpt"
"Extraversion",0.941458333333333,"llm_src_cn_gpt_vs_llm_tgt_es_gpt"
"Negative_Emotionality",0.958541666666667,"llm_src_cn_gpt_vs_llm_tgt_es_gpt"
"Open_Mindedness",0.87375,"llm_src_cn_gpt_vs_llm_tgt_es_gpt"
"Agreeableness",0.93625,"llm_src_cn_gpt_vs_llm_tgt_tr_gpt"
"Conscientiousness",0.932916666666667,"llm_src_cn_gpt_vs_llm_tgt_tr_gpt"
"Extraversion",0.97375,"llm_src_cn_gpt_vs_llm_tgt_tr_gpt"
"Negative_Emotionality",0.930625,"llm_src_cn_gpt_vs_llm_tgt_tr_gpt"
"Open_Mindedness",0.924791666666667,"llm_src_cn_gpt_vs_llm_tgt_tr_gpt"
