"domain","avg_alignment","comparison"
"Agreeableness",0.686806672025723,"llm_src_en_gpt_vs_human_src_en"
"Conscientiousness",0.767211280814577,"llm_src_en_gpt_vs_human_src_en"
"Extraversion",0.739786307609861,"llm_src_en_gpt_vs_human_src_en"
"Negative_Emotionality",0.720524517684887,"llm_src_en_gpt_vs_human_src_en"
"Open_Mindedness",0.596641881028939,"llm_src_en_gpt_vs_human_src_en"
"Agreeableness",0.944791666666667,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Conscientiousness",0.958958333333333,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Extraversion",0.950416666666667,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Negative_Emotionality",0.928333333333333,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Open_Mindedness",0.88125,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Agreeableness",0.909166666666667,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Conscientiousness",0.942708333333333,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Extraversion",0.919375,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Negative_Emotionality",0.947291666666667,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Open_Mindedness",0.954166666666667,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Agreeableness",0.969375,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Conscientiousness",0.921041666666667,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Extraversion",0.9425,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Negative_Emotionality",0.962291666666667,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Open_Mindedness",0.816875,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
