"item","domain","wasserstein","alignment","comparison"
"Extraversion_1","Extraversion",0.63,0.8425,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Extraversion_2","Extraversion",0.1,0.975,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Extraversion_3","Extraversion",0.18,0.955,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Extraversion_4","Extraversion",0.15,0.9625,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Extraversion_5","Extraversion",0.03,0.9925,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Extraversion_6","Extraversion",0.07,0.9825,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Extraversion_7","Extraversion",0.15,0.9625,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Extraversion_8","Extraversion",0.07,0.9825,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Extraversion_9","Extraversion",0.07,0.9825,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Extraversion_10","Extraversion",0.6,0.85,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Extraversion_11","Extraversion",0.23,0.9425,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Extraversion_12","Extraversion",0.1,0.975,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Agreeableness_1","Agreeableness",0.33,0.9175,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Agreeableness_2","Agreeableness",0.17,0.9575,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Agreeableness_3","Agreeableness",0.04,0.99,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Agreeableness_4","Agreeableness",0.03,0.9925,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Agreeableness_5","Agreeableness",0.19,0.9525,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Agreeableness_6","Agreeableness",0.2,0.95,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Agreeableness_7","Agreeableness",0.16,0.96,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Agreeableness_8","Agreeableness",0.02,0.995,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Agreeableness_9","Agreeableness",0,1,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Agreeableness_10","Agreeableness",0.98,0.755,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Agreeableness_11","Agreeableness",0.17,0.9575,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Agreeableness_12","Agreeableness",0.36,0.91,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Conscientiousness_1","Conscientiousness",0.02,0.995,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Conscientiousness_2","Conscientiousness",0.17,0.9575,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Conscientiousness_3","Conscientiousness",0.4,0.9,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Conscientiousness_4","Conscientiousness",0.05,0.9875,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Conscientiousness_5","Conscientiousness",0.75,0.8125,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Conscientiousness_6","Conscientiousness",0,1,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Conscientiousness_7","Conscientiousness",0.05,0.9875,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Conscientiousness_8","Conscientiousness",0.11,0.9725,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Conscientiousness_9","Conscientiousness",0.22,0.945,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
"Conscientiousness_10","Conscientiousness",0.13,0.9675,"llm_src_en_gpt_vs_llm_tgt_cn_gpt"
