"item","domain","wasserstein","alignment","comparison"
"Extraversion_1","Extraversion",0.83,0.7925,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Extraversion_2","Extraversion",0.24,0.94,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Extraversion_3","Extraversion",0.77,0.8075,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Extraversion_4","Extraversion",0.5,0.875,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Extraversion_5","Extraversion",0.14,0.965,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Extraversion_6","Extraversion",0.0600000000000001,0.985,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Extraversion_7","Extraversion",0.16,0.96,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Extraversion_8","Extraversion",0.02,0.995,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Extraversion_9","Extraversion",0.17,0.9575,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Extraversion_10","Extraversion",0.63,0.8425,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Extraversion_11","Extraversion",0.07,0.9825,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Extraversion_12","Extraversion",0.28,0.93,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Agreeableness_1","Agreeableness",0.4,0.9,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Agreeableness_2","Agreeableness",0,1,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Agreeableness_3","Agreeableness",0.92,0.77,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Agreeableness_4","Agreeableness",0.02,0.995,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Agreeableness_5","Agreeableness",0.76,0.81,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Agreeableness_6","Agreeableness",0.56,0.86,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Agreeableness_7","Agreeableness",0.01,0.9975,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Agreeableness_8","Agreeableness",0.83,0.7925,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Agreeableness_9","Agreeableness",0.05,0.9875,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Agreeableness_10","Agreeableness",0.07,0.9825,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Agreeableness_11","Agreeableness",0,1,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Agreeableness_12","Agreeableness",0.74,0.815,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Conscientiousness_1","Conscientiousness",0.33,0.9175,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Conscientiousness_2","Conscientiousness",0.16,0.96,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Conscientiousness_3","Conscientiousness",0.43,0.8925,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Conscientiousness_4","Conscientiousness",0.25,0.9375,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Conscientiousness_5","Conscientiousness",0.13,0.9675,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Conscientiousness_6","Conscientiousness",0.61,0.8475,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Conscientiousness_7","Conscientiousness",0.25,0.9375,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Conscientiousness_8","Conscientiousness",0.1,0.975,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Conscientiousness_9","Conscientiousness",0.37,0.9075,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Conscientiousness_10","Conscientiousness",0.0399999999999999,0.99,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Conscientiousness_11","Conscientiousness",0.0800000000000001,0.98,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Conscientiousness_12","Conscientiousness",0,1,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Negative_Emotionality_1","Negative_Emotionality",0.12,0.97,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Negative_Emotionality_2","Negative_Emotionality",0.19,0.9525,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Negative_Emotionality_3","Negative_Emotionality",0.61,0.8475,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Negative_Emotionality_4","Negative_Emotionality",0.08,0.98,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Negative_Emotionality_5","Negative_Emotionality",0.08,0.98,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Negative_Emotionality_6","Negative_Emotionality",0.09,0.9775,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Negative_Emotionality_7","Negative_Emotionality",0.08,0.98,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Negative_Emotionality_8","Negative_Emotionality",0.25,0.9375,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Negative_Emotionality_9","Negative_Emotionality",0.09,0.9775,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Negative_Emotionality_10","Negative_Emotionality",0.09,0.9775,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Negative_Emotionality_11","Negative_Emotionality",0.25,0.9375,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Negative_Emotionality_12","Negative_Emotionality",0.6,0.85,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Open_Mindedness_1","Open_Mindedness",0.16,0.96,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Open_Mindedness_2","Open_Mindedness",0.03,0.9925,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Open_Mindedness_3","Open_Mindedness",0.4,0.9,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Open_Mindedness_4","Open_Mindedness",0.41,0.8975,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Open_Mindedness_5","Open_Mindedness",0.42,0.895,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Open_Mindedness_6","Open_Mindedness",0.02,0.995,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Open_Mindedness_7","Open_Mindedness",0.37,0.9075,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Open_Mindedness_8","Open_Mindedness",0.06,0.985,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Open_Mindedness_9","Open_Mindedness",0.03,0.9925,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Open_Mindedness_10","Open_Mindedness",0.02,0.995,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Open_Mindedness_11","Open_Mindedness",0.04,0.99,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
"Open_Mindedness_12","Open_Mindedness",0.24,0.94,"llm_src_en_gpt_vs_llm_tgt_es_gpt"
