"item","domain","wasserstein","alignment","comparison"
"Extraversion_1","Extraversion",0.62,0.845,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Extraversion_2","Extraversion",0.07,0.9825,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Extraversion_3","Extraversion",0.19,0.9525,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Extraversion_4","Extraversion",0.49,0.8775,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Extraversion_5","Extraversion",0.04,0.99,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Extraversion_6","Extraversion",0.0600000000000001,0.985,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Extraversion_7","Extraversion",0.37,0.9075,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Extraversion_8","Extraversion",0.05,0.9875,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Extraversion_9","Extraversion",0.08,0.98,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Extraversion_10","Extraversion",0.6,0.85,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Extraversion_11","Extraversion",0.09,0.9775,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Extraversion_12","Extraversion",0.1,0.975,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Agreeableness_1","Agreeableness",0.11,0.9725,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Agreeableness_2","Agreeableness",0.01,0.9975,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Agreeableness_3","Agreeableness",0.04,0.99,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Agreeableness_4","Agreeableness",0.78,0.805,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Agreeableness_5","Agreeableness",0.19,0.9525,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Agreeableness_6","Agreeableness",0.13,0.9675,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Agreeableness_7","Agreeableness",0,1,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Agreeableness_8","Agreeableness",0.01,0.9975,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Agreeableness_9","Agreeableness",0,1,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Agreeableness_10","Agreeableness",0.02,0.995,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Agreeableness_11","Agreeableness",0.01,0.9975,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Agreeableness_12","Agreeableness",0.17,0.9575,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Conscientiousness_1","Conscientiousness",1.08,0.73,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Conscientiousness_2","Conscientiousness",0.26,0.935,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Conscientiousness_3","Conscientiousness",0.0499999999999999,0.9875,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Conscientiousness_4","Conscientiousness",0.1,0.975,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Conscientiousness_5","Conscientiousness",0.64,0.84,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Conscientiousness_6","Conscientiousness",0.51,0.8725,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Conscientiousness_7","Conscientiousness",0.1,0.975,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Conscientiousness_8","Conscientiousness",0.11,0.9725,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Conscientiousness_9","Conscientiousness",0.38,0.905,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Conscientiousness_10","Conscientiousness",0.27,0.9325,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Conscientiousness_11","Conscientiousness",0.14,0.965,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Conscientiousness_12","Conscientiousness",0.15,0.9625,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Negative_Emotionality_1","Negative_Emotionality",0.1,0.975,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Negative_Emotionality_2","Negative_Emotionality",0.25,0.9375,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
"Negative_Emotionality_3","Negative_Emotionality",0.11,0.9725,"llm_src_en_gpt_vs_llm_tgt_tr_gpt"
