"dataset","domain","alpha"
"human_src_en","Extraversion",-0.247750354783479
"human_src_en","Agreeableness",-0.0138743359084962
"human_src_en","Conscientiousness",-0.0842041909478463
"human_src_en","Negative_Emotionality",-0.348543565973383
"human_src_en","Open_Mindedness",-0.156590953520293
"llm_src_en_gpt","Extraversion",0.886913126697656
"llm_src_en_gpt","Agreeableness",0.688156359393232
"llm_src_en_gpt","Conscientiousness",0.859554030874785
"llm_src_en_gpt","Negative_Emotionality",0.891078390029292
"llm_src_en_gpt","Open_Mindedness",0.770013613674179
"llm_tgt_cn_gpt","Extraversion",0.663438921122785
"llm_tgt_cn_gpt","Agreeableness",0.918285736579276
"llm_tgt_cn_gpt","Conscientiousness",0.721884236453202
"llm_tgt_cn_gpt","Negative_Emotionality",0.799692872392224
"llm_tgt_cn_gpt","Open_Mindedness",0.742058831670562
"llm_tgt_es_gpt","Extraversion",0.806921192323398
"llm_tgt_es_gpt","Agreeableness",0.615309276772871
"llm_tgt_es_gpt","Conscientiousness",0.839776768075859
"llm_tgt_es_gpt","Negative_Emotionality",0.0675675675675675
"llm_tgt_es_gpt","Open_Mindedness",0.644134321849106
"llm_tgt_tr_gpt","Extraversion",0.49023569023569
"llm_tgt_tr_gpt","Agreeableness",0.678218024206739
"llm_tgt_tr_gpt","Conscientiousness",0.824005468215994
"llm_tgt_tr_gpt","Negative_Emotionality",0.681335740072202
"llm_tgt_tr_gpt","Open_Mindedness",0.901695951107716
