"domain","avg_alignment","comparison"
"Agreeableness",0.749604057591623,"llm_src_es_gpt_vs_human_src_es"
"Conscientiousness",0.815341041303083,"llm_src_es_gpt_vs_human_src_es"
"Extraversion",0.81109365910413,"llm_src_es_gpt_vs_human_src_es"
"Negative_Emotionality",0.707910849331006,"llm_src_es_gpt_vs_human_src_es"
"Open_Mindedness",0.764966913903432,"llm_src_es_gpt_vs_human_src_es"
"Agreeableness",0.893958333333333,"llm_src_es_gpt_vs_llm_tgt_cn_gpt"
"Conscientiousness",0.925416666666667,"llm_src_es_gpt_vs_llm_tgt_cn_gpt"
"Extraversion",0.941458333333333,"llm_src_es_gpt_vs_llm_tgt_cn_gpt"
"Negative_Emotionality",0.958541666666667,"llm_src_es_gpt_vs_llm_tgt_cn_gpt"
"Open_Mindedness",0.87375,"llm_src_es_gpt_vs_llm_tgt_cn_gpt"
"Agreeableness",0.909166666666667,"llm_src_es_gpt_vs_llm_tgt_en_gpt"
"Conscientiousness",0.942708333333333,"llm_src_es_gpt_vs_llm_tgt_en_gpt"
"Extraversion",0.919375,"llm_src_es_gpt_vs_llm_tgt_en_gpt"
"Negative_Emotionality",0.947291666666667,"llm_src_es_gpt_vs_llm_tgt_en_gpt"
"Open_Mindedness",0.954166666666667,"llm_src_es_gpt_vs_llm_tgt_en_gpt"
"Agreeableness",0.888541666666667,"llm_src_es_gpt_vs_llm_tgt_tr_gpt"
"Conscientiousness",0.9425,"llm_src_es_gpt_vs_llm_tgt_tr_gpt"
"Extraversion",0.956041666666667,"llm_src_es_gpt_vs_llm_tgt_tr_gpt"
"Negative_Emotionality",0.947083333333333,"llm_src_es_gpt_vs_llm_tgt_tr_gpt"
"Open_Mindedness",0.806875,"llm_src_es_gpt_vs_llm_tgt_tr_gpt"
