"domain","avg_alignment","comparison"
"Agreeableness",0.737368708971554,"llm_src_tr_gpt_vs_human_src_tr"
"Conscientiousness",0.809487600291758,"llm_src_tr_gpt_vs_human_src_tr"
"Extraversion",0.793430433989789,"llm_src_tr_gpt_vs_human_src_tr"
"Negative_Emotionality",0.809997264770241,"llm_src_tr_gpt_vs_human_src_tr"
"Open_Mindedness",0.771971188913202,"llm_src_tr_gpt_vs_human_src_tr"
"Agreeableness",0.93625,"llm_src_tr_gpt_vs_llm_tgt_cn_gpt"
"Conscientiousness",0.932916666666667,"llm_src_tr_gpt_vs_llm_tgt_cn_gpt"
"Extraversion",0.97375,"llm_src_tr_gpt_vs_llm_tgt_cn_gpt"
"Negative_Emotionality",0.930625,"llm_src_tr_gpt_vs_llm_tgt_cn_gpt"
"Open_Mindedness",0.924791666666667,"llm_src_tr_gpt_vs_llm_tgt_cn_gpt"
"Agreeableness",0.969375,"llm_src_tr_gpt_vs_llm_tgt_en_gpt"
"Conscientiousness",0.921041666666667,"llm_src_tr_gpt_vs_llm_tgt_en_gpt"
"Extraversion",0.9425,"llm_src_tr_gpt_vs_llm_tgt_en_gpt"
"Negative_Emotionality",0.962291666666667,"llm_src_tr_gpt_vs_llm_tgt_en_gpt"
"Open_Mindedness",0.816875,"llm_src_tr_gpt_vs_llm_tgt_en_gpt"
"Agreeableness",0.888541666666667,"llm_src_tr_gpt_vs_llm_tgt_es_gpt"
"Conscientiousness",0.9425,"llm_src_tr_gpt_vs_llm_tgt_es_gpt"
"Extraversion",0.956041666666667,"llm_src_tr_gpt_vs_llm_tgt_es_gpt"
"Negative_Emotionality",0.947083333333333,"llm_src_tr_gpt_vs_llm_tgt_es_gpt"
"Open_Mindedness",0.806875,"llm_src_tr_gpt_vs_llm_tgt_es_gpt"
