"item","domain","wasserstein","alignment","comparison"
"Extraversion_1","Extraversion",0.840262582056893,0.789934354485777,"llm_src_tr_gpt_vs_human_src_tr"
"Extraversion_2","Extraversion",0.797592997811816,0.800601750547046,"llm_src_tr_gpt_vs_human_src_tr"
"Extraversion_3","Extraversion",0.946389496717724,0.763402625820569,"llm_src_tr_gpt_vs_human_src_tr"
"Extraversion_4","Extraversion",0.87527352297593,0.781181619256017,"llm_src_tr_gpt_vs_human_src_tr"
"Extraversion_5","Extraversion",1.09144420131291,0.727138949671772,"llm_src_tr_gpt_vs_human_src_tr"
"Extraversion_6","Extraversion",0.853391684901532,0.786652078774617,"llm_src_tr_gpt_vs_human_src_tr"
"Extraversion_7","Extraversion",0.675557986870897,0.831110503282276,"llm_src_tr_gpt_vs_human_src_tr"
"Extraversion_8","Extraversion",0.741487964989059,0.814628008752735,"llm_src_tr_gpt_vs_human_src_tr"
"Extraversion_9","Extraversion",0.688183807439825,0.827954048140044,"llm_src_tr_gpt_vs_human_src_tr"
"Extraversion_10","Extraversion",0.810722100656455,0.797319474835886,"llm_src_tr_gpt_vs_human_src_tr"
"Extraversion_11","Extraversion",0.828074398249453,0.792981400437637,"llm_src_tr_gpt_vs_human_src_tr"
"Extraversion_12","Extraversion",0.766958424507659,0.808260393873085,"llm_src_tr_gpt_vs_human_src_tr"
"Agreeableness_1","Agreeableness",1.17783369803063,0.705541575492341,"llm_src_tr_gpt_vs_human_src_tr"
"Agreeableness_2","Agreeableness",1.5009409190372,0.6247647702407,"llm_src_tr_gpt_vs_human_src_tr"
"Agreeableness_3","Agreeableness",0.818380743982495,0.795404814004376,"llm_src_tr_gpt_vs_human_src_tr"
"Agreeableness_4","Agreeableness",0.5472647702407,0.863183807439825,"llm_src_tr_gpt_vs_human_src_tr"
"Agreeableness_5","Agreeableness",0.770240700218818,0.807439824945295,"llm_src_tr_gpt_vs_human_src_tr"
"Agreeableness_6","Agreeableness",1.22426695842451,0.693933260393873,"llm_src_tr_gpt_vs_human_src_tr"
"Agreeableness_7","Agreeableness",1.54032822757112,0.614917943107221,"llm_src_tr_gpt_vs_human_src_tr"
