"domain","avg_alignment","comparison"
"Agreeableness",0.711996268656716,"llm_src_cn_Mistral_vs_human_src_cn"
"Conscientiousness",0.709527708678828,"llm_src_cn_Mistral_vs_human_src_cn"
"Extraversion",0.714040215588723,"llm_src_cn_Mistral_vs_human_src_cn"
"Negative_Emotionality",0.710694444444444,"llm_src_cn_Mistral_vs_human_src_cn"
"Open_Mindedness",0.749184977888336,"llm_src_cn_Mistral_vs_human_src_cn"
"Agreeableness",0.971875,"llm_src_cn_Mistral_vs_llm_tgt_en_Mistral"
"Conscientiousness",0.973333333333333,"llm_src_cn_Mistral_vs_llm_tgt_en_Mistral"
"Extraversion",0.971875,"llm_src_cn_Mistral_vs_llm_tgt_en_Mistral"
"Negative_Emotionality",0.96125,"llm_src_cn_Mistral_vs_llm_tgt_en_Mistral"
"Open_Mindedness",0.987708333333333,"llm_src_cn_Mistral_vs_llm_tgt_en_Mistral"
"Agreeableness",0.927083333333333,"llm_src_cn_Mistral_vs_llm_tgt_es_Mistral"
"Conscientiousness",0.918541666666667,"llm_src_cn_Mistral_vs_llm_tgt_es_Mistral"
"Extraversion",0.916458333333333,"llm_src_cn_Mistral_vs_llm_tgt_es_Mistral"
"Negative_Emotionality",0.915,"llm_src_cn_Mistral_vs_llm_tgt_es_Mistral"
"Open_Mindedness",0.928333333333333,"llm_src_cn_Mistral_vs_llm_tgt_es_Mistral"
"Agreeableness",0.914166666666667,"llm_src_cn_Mistral_vs_llm_tgt_tr_Mistral"
"Conscientiousness",0.928125,"llm_src_cn_Mistral_vs_llm_tgt_tr_Mistral"
"Extraversion",0.916875,"llm_src_cn_Mistral_vs_llm_tgt_tr_Mistral"
"Negative_Emotionality",0.918541666666667,"llm_src_cn_Mistral_vs_llm_tgt_tr_Mistral"
"Open_Mindedness",0.908333333333333,"llm_src_cn_Mistral_vs_llm_tgt_tr_Mistral"
