"dataset","domain","alpha"
"human_src_cn","Extraversion",-0.318904018599648
"human_src_cn","Agreeableness",-0.0103063664299785
"human_src_cn","Conscientiousness",-0.518254865124235
"human_src_cn","Negative_Emotionality",-0.0272867342367059
"human_src_cn","Open_Mindedness",-0.342735308264046
"llm_src_cn_Mistral","Extraversion",0.0947261146496816
"llm_src_cn_Mistral","Agreeableness",-1.08872552587525
"llm_src_cn_Mistral","Conscientiousness",0.0719192661163095
"llm_src_cn_Mistral","Negative_Emotionality",0.359252268160507
"llm_src_cn_Mistral","Open_Mindedness",-0.437528587030589
"llm_tgt_en_Mistral","Extraversion",0.0462270233446468
"llm_tgt_en_Mistral","Agreeableness",-0.478480590881324
"llm_tgt_en_Mistral","Conscientiousness",0.205219938178477
"llm_tgt_en_Mistral","Negative_Emotionality",0.548798654249552
"llm_tgt_en_Mistral","Open_Mindedness",-0.848181818181818
"llm_tgt_es_Mistral","Extraversion",0.0313378284119971
"llm_tgt_es_Mistral","Agreeableness",-1.28300694883133
"llm_tgt_es_Mistral","Conscientiousness",0.709649516665786
"llm_tgt_es_Mistral","Negative_Emotionality",0.724455967215857
"llm_tgt_es_Mistral","Open_Mindedness",-1.50912082409328
"llm_tgt_tr_Mistral","Extraversion",-0.833295352323838
"llm_tgt_tr_Mistral","Agreeableness",-0.892058436612892
"llm_tgt_tr_Mistral","Conscientiousness",0.4995372147098
"llm_tgt_tr_Mistral","Negative_Emotionality",0.582386409120747
"llm_tgt_tr_Mistral","Open_Mindedness",-0.838799580173267
