"domain","avg_alignment","comparison"
"Agreeableness",0.726266747052519,"llm_src_en_Mistral_vs_human_src_en"
"Conscientiousness",0.738496114683816,"llm_src_en_Mistral_vs_human_src_en"
"Extraversion",0.693248258306538,"llm_src_en_Mistral_vs_human_src_en"
"Negative_Emotionality",0.730096463022508,"llm_src_en_Mistral_vs_human_src_en"
"Open_Mindedness",0.728949624866024,"llm_src_en_Mistral_vs_human_src_en"
"Agreeableness",0.971875,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Conscientiousness",0.973333333333333,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Extraversion",0.971875,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Negative_Emotionality",0.96125,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Open_Mindedness",0.987708333333333,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Agreeableness",0.926041666666667,"llm_src_en_Mistral_vs_llm_tgt_es_Mistral"
"Conscientiousness",0.933541666666667,"llm_src_en_Mistral_vs_llm_tgt_es_Mistral"
"Extraversion",0.915,"llm_src_en_Mistral_vs_llm_tgt_es_Mistral"
"Negative_Emotionality",0.912083333333333,"llm_src_en_Mistral_vs_llm_tgt_es_Mistral"
"Open_Mindedness",0.937291666666667,"llm_src_en_Mistral_vs_llm_tgt_es_Mistral"
"Agreeableness",0.915208333333333,"llm_src_en_Mistral_vs_llm_tgt_tr_Mistral"
"Conscientiousness",0.931875,"llm_src_en_Mistral_vs_llm_tgt_tr_Mistral"
"Extraversion",0.917916666666667,"llm_src_en_Mistral_vs_llm_tgt_tr_Mistral"
"Negative_Emotionality",0.917708333333333,"llm_src_en_Mistral_vs_llm_tgt_tr_Mistral"
"Open_Mindedness",0.916875,"llm_src_en_Mistral_vs_llm_tgt_tr_Mistral"
