"domain","avg_alignment","comparison"
"Agreeableness",0.644600058173357,"llm_src_es_Mistral_vs_human_src_es"
"Conscientiousness",0.769293920884235,"llm_src_es_Mistral_vs_human_src_es"
"Extraversion",0.718864528795812,"llm_src_es_Mistral_vs_human_src_es"
"Negative_Emotionality",0.658175538103549,"llm_src_es_Mistral_vs_human_src_es"
"Open_Mindedness",0.702961387434555,"llm_src_es_Mistral_vs_human_src_es"
"Agreeableness",0.927083333333333,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Conscientiousness",0.918541666666667,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Extraversion",0.916458333333333,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Negative_Emotionality",0.915,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Open_Mindedness",0.928333333333333,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Agreeableness",0.926041666666667,"llm_src_es_Mistral_vs_llm_tgt_en_Mistral"
"Conscientiousness",0.933541666666667,"llm_src_es_Mistral_vs_llm_tgt_en_Mistral"
"Extraversion",0.915,"llm_src_es_Mistral_vs_llm_tgt_en_Mistral"
"Negative_Emotionality",0.912083333333333,"llm_src_es_Mistral_vs_llm_tgt_en_Mistral"
"Open_Mindedness",0.937291666666667,"llm_src_es_Mistral_vs_llm_tgt_en_Mistral"
"Agreeableness",0.942916666666667,"llm_src_es_Mistral_vs_llm_tgt_tr_Mistral"
"Conscientiousness",0.937916666666667,"llm_src_es_Mistral_vs_llm_tgt_tr_Mistral"
"Extraversion",0.940416666666667,"llm_src_es_Mistral_vs_llm_tgt_tr_Mistral"
"Negative_Emotionality",0.946875,"llm_src_es_Mistral_vs_llm_tgt_tr_Mistral"
"Open_Mindedness",0.93,"llm_src_es_Mistral_vs_llm_tgt_tr_Mistral"
