"domain","avg_alignment","comparison"
"Agreeableness",0.640752188183807,"llm_src_tr_Mistral_vs_human_src_tr"
"Conscientiousness",0.731587345003647,"llm_src_tr_Mistral_vs_human_src_tr"
"Extraversion",0.721628829321663,"llm_src_tr_Mistral_vs_human_src_tr"
"Negative_Emotionality",0.74924553245806,"llm_src_tr_Mistral_vs_human_src_tr"
"Open_Mindedness",0.680477297592998,"llm_src_tr_Mistral_vs_human_src_tr"
"Agreeableness",0.914166666666667,"llm_src_tr_Mistral_vs_llm_tgt_cn_Mistral"
"Conscientiousness",0.928125,"llm_src_tr_Mistral_vs_llm_tgt_cn_Mistral"
"Extraversion",0.916875,"llm_src_tr_Mistral_vs_llm_tgt_cn_Mistral"
"Negative_Emotionality",0.918541666666667,"llm_src_tr_Mistral_vs_llm_tgt_cn_Mistral"
"Open_Mindedness",0.908333333333333,"llm_src_tr_Mistral_vs_llm_tgt_cn_Mistral"
"Agreeableness",0.915208333333333,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Conscientiousness",0.931875,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Extraversion",0.917916666666667,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Negative_Emotionality",0.917708333333333,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Open_Mindedness",0.916875,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Agreeableness",0.942916666666667,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Conscientiousness",0.937916666666667,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Extraversion",0.940416666666667,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Negative_Emotionality",0.946875,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Open_Mindedness",0.93,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
