"item","domain","wasserstein","alignment","comparison"
"Extraversion_1","Extraversion",0.06,0.985,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Extraversion_2","Extraversion",0.48,0.88,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Extraversion_3","Extraversion",0.73,0.8175,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Extraversion_4","Extraversion",0.37,0.9075,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Extraversion_5","Extraversion",0.3,0.925,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Extraversion_6","Extraversion",0.19,0.9525,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Extraversion_7","Extraversion",0.29,0.9275,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Extraversion_8","Extraversion",0.27,0.9325,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Extraversion_9","Extraversion",0.0700000000000001,0.9825,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Extraversion_10","Extraversion",0.51,0.8725,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Extraversion_11","Extraversion",0.39,0.9025,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Extraversion_12","Extraversion",0.28,0.93,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Agreeableness_1","Agreeableness",0.08,0.98,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Agreeableness_2","Agreeableness",1.28,0.68,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Agreeableness_3","Agreeableness",0.43,0.8925,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Agreeableness_4","Agreeableness",0.45,0.8875,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Agreeableness_5","Agreeableness",0.1,0.975,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Agreeableness_6","Agreeableness",0.18,0.955,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Agreeableness_7","Agreeableness",0.36,0.91,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Agreeableness_8","Agreeableness",0.23,0.9425,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Agreeableness_9","Agreeableness",0.35,0.9125,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Agreeableness_10","Agreeableness",0.15,0.9625,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Agreeableness_11","Agreeableness",0.15,0.9625,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Agreeableness_12","Agreeableness",0.31,0.9225,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Conscientiousness_1","Conscientiousness",0.13,0.9675,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Conscientiousness_2","Conscientiousness",0.49,0.8775,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Conscientiousness_3","Conscientiousness",0.76,0.81,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Conscientiousness_4","Conscientiousness",0.32,0.92,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Conscientiousness_5","Conscientiousness",0.44,0.89,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Conscientiousness_6","Conscientiousness",0.22,0.945,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Conscientiousness_7","Conscientiousness",0.22,0.945,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Conscientiousness_8","Conscientiousness",0.07,0.9825,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Conscientiousness_9","Conscientiousness",0.19,0.9525,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Conscientiousness_10","Conscientiousness",0.18,0.955,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Conscientiousness_11","Conscientiousness",0.05,0.9875,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Conscientiousness_12","Conscientiousness",0.2,0.95,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
"Negative_Emotionality_1","Negative_Emotionality",0.48,0.88,"llm_src_tr_Mistral_vs_llm_tgt_en_Mistral"
