"item","domain","wasserstein","alignment","comparison"
"Extraversion_1","Extraversion",0.096,0.976,"human_src_vs_llm_src"
"Extraversion_2","Extraversion",0.14,0.965,"human_src_vs_llm_src"
"Extraversion_3","Extraversion",0.088,0.978,"human_src_vs_llm_src"
"Extraversion_4","Extraversion",0.0880000000000001,0.978,"human_src_vs_llm_src"
"Extraversion_5","Extraversion",0.11,0.9725,"human_src_vs_llm_src"
"Extraversion_6","Extraversion",0.118,0.9705,"human_src_vs_llm_src"
"Extraversion_7","Extraversion",0.178,0.9555,"human_src_vs_llm_src"
"Extraversion_8","Extraversion",0.22,0.945,"human_src_vs_llm_src"
"Extraversion_9","Extraversion",0.154,0.9615,"human_src_vs_llm_src"
"Extraversion_10","Extraversion",0.178,0.9555,"human_src_vs_llm_src"
"Extraversion_11","Extraversion",0.162,0.9595,"human_src_vs_llm_src"
"Extraversion_12","Extraversion",0.11,0.9725,"human_src_vs_llm_src"
"Agreeableness_1","Agreeableness",0.192,0.952,"human_src_vs_llm_src"
"Agreeableness_2","Agreeableness",0.172,0.957,"human_src_vs_llm_src"
"Agreeableness_3","Agreeableness",0.296,0.926,"human_src_vs_llm_src"
"Agreeableness_4","Agreeableness",0.262,0.9345,"human_src_vs_llm_src"
"Agreeableness_5","Agreeableness",0.206,0.9485,"human_src_vs_llm_src"
"Agreeableness_6","Agreeableness",0.238,0.9405,"human_src_vs_llm_src"
"Agreeableness_7","Agreeableness",0.16,0.96,"human_src_vs_llm_src"
"Agreeableness_8","Agreeableness",0.206,0.9485,"human_src_vs_llm_src"
"Agreeableness_9","Agreeableness",0.234,0.9415,"human_src_vs_llm_src"
"Agreeableness_10","Agreeableness",0.198,0.9505,"human_src_vs_llm_src"
"Agreeableness_11","Agreeableness",0.268,0.933,"human_src_vs_llm_src"
"Agreeableness_12","Agreeableness",0.234,0.9415,"human_src_vs_llm_src"
"Conscientiousness_1","Conscientiousness",0.198,0.9505,"human_src_vs_llm_src"
"Conscientiousness_2","Conscientiousness",0.1,0.975,"human_src_vs_llm_src"
"Conscientiousness_3","Conscientiousness",0.24,0.94,"human_src_vs_llm_src"
"Conscientiousness_4","Conscientiousness",0.114,0.9715,"human_src_vs_llm_src"
"Conscientiousness_5","Conscientiousness",0.19,0.9525,"human_src_vs_llm_src"
"Conscientiousness_6","Conscientiousness",0.108,0.973,"human_src_vs_llm_src"
"Conscientiousness_7","Conscientiousness",0.162,0.9595,"human_src_vs_llm_src"
"Conscientiousness_8","Conscientiousness",0.14,0.965,"human_src_vs_llm_src"
"Conscientiousness_9","Conscientiousness",0.242,0.9395,"human_src_vs_llm_src"
"Conscientiousness_10","Conscientiousness",0.136,0.966,"human_src_vs_llm_src"
"Conscientiousness_11","Conscientiousness",0.098,0.9755,"human_src_vs_llm_src"
"Conscientiousness_12","Conscientiousness",0.22,0.945,"human_src_vs_llm_src"
"Neuroticism_1","Neuroticism",0.164,0.959,"human_src_vs_llm_src"
"Neuroticism_2","Neuroticism",0.25,0.9375,"human_src_vs_llm_src"
"Neuroticism_3","Neuroticism",0.212,0.947,"human_src_vs_llm_src"
"Neuroticism_4","Neuroticism",0.178,0.9555,"human_src_vs_llm_src"
"Neuroticism_5","Neuroticism",0.19,0.9525,"human_src_vs_llm_src"
"Neuroticism_6","Neuroticism",0.208,0.948,"human_src_vs_llm_src"
"Neuroticism_7","Neuroticism",0.11,0.9725,"human_src_vs_llm_src"
"Neuroticism_8","Neuroticism",0.21,0.9475,"human_src_vs_llm_src"
"Neuroticism_9","Neuroticism",0.162,0.9595,"human_src_vs_llm_src"
"Neuroticism_10","Neuroticism",0.198,0.9505,"human_src_vs_llm_src"
"Neuroticism_11","Neuroticism",0.21,0.9475,"human_src_vs_llm_src"
"Neuroticism_12","Neuroticism",0.164,0.959,"human_src_vs_llm_src"
"Openness_1","Openness",0.196,0.951,"human_src_vs_llm_src"
"Openness_2","Openness",0.238,0.9405,"human_src_vs_llm_src"
"Openness_3","Openness",0.2,0.95,"human_src_vs_llm_src"
"Openness_4","Openness",0.168,0.958,"human_src_vs_llm_src"
"Openness_5","Openness",0.262,0.9345,"human_src_vs_llm_src"
"Openness_6","Openness",0.212,0.947,"human_src_vs_llm_src"
"Openness_7","Openness",0.178,0.9555,"human_src_vs_llm_src"
"Openness_8","Openness",0.236,0.941,"human_src_vs_llm_src"
"Openness_9","Openness",0.2,0.95,"human_src_vs_llm_src"
"Openness_10","Openness",0.25,0.9375,"human_src_vs_llm_src"
"Openness_11","Openness",0.218,0.9455,"human_src_vs_llm_src"
"Openness_12","Openness",0.194,0.9515,"human_src_vs_llm_src"
