"domain","avg_alignment","comparison"
"Agreeableness",0.953166666666667,"llm_src_vs_human_src"
"Conscientiousness",0.960375,"llm_src_vs_human_src"
"Extraversion",0.938458333333333,"llm_src_vs_human_src"
"Neuroticism",0.943625,"llm_src_vs_human_src"
"Openness",0.927541666666667,"llm_src_vs_human_src"
"Agreeableness",0.875916666666667,"llm_src_vs_llm_tgt"
"Conscientiousness",0.865,"llm_src_vs_llm_tgt"
"Extraversion",0.86625,"llm_src_vs_llm_tgt"
"Neuroticism",0.865375,"llm_src_vs_llm_tgt"
"Openness",0.859333333333333,"llm_src_vs_llm_tgt"
