"item","domain","wasserstein","alignment","comparison"
"Extraversion_1","Extraversion",0.508,0.873,"llm_src_vs_llm_tgt"
"Extraversion_2","Extraversion",0.484,0.879,"llm_src_vs_llm_tgt"
"Extraversion_3","Extraversion",0.458,0.8855,"llm_src_vs_llm_tgt"
"Extraversion_4","Extraversion",0.628,0.843,"llm_src_vs_llm_tgt"
"Extraversion_5","Extraversion",0.63,0.8425,"llm_src_vs_llm_tgt"
"Extraversion_6","Extraversion",0.502,0.8745,"llm_src_vs_llm_tgt"
"Extraversion_7","Extraversion",0.5,0.875,"llm_src_vs_llm_tgt"
"Extraversion_8","Extraversion",0.486,0.8785,"llm_src_vs_llm_tgt"
"Extraversion_9","Extraversion",0.564,0.859,"llm_src_vs_llm_tgt"
"Extraversion_10","Extraversion",0.476,0.881,"llm_src_vs_llm_tgt"
"Extraversion_11","Extraversion",0.58,0.855,"llm_src_vs_llm_tgt"
"Extraversion_12","Extraversion",0.604,0.849,"llm_src_vs_llm_tgt"
"Agreeableness_1","Agreeableness",0.442,0.8895,"llm_src_vs_llm_tgt"
"Agreeableness_2","Agreeableness",0.494,0.8765,"llm_src_vs_llm_tgt"
"Agreeableness_3","Agreeableness",0.47,0.8825,"llm_src_vs_llm_tgt"
"Agreeableness_4","Agreeableness",0.486,0.8785,"llm_src_vs_llm_tgt"
"Agreeableness_5","Agreeableness",0.494,0.8765,"llm_src_vs_llm_tgt"
"Agreeableness_6","Agreeableness",0.538,0.8655,"llm_src_vs_llm_tgt"
"Agreeableness_7","Agreeableness",0.56,0.86,"llm_src_vs_llm_tgt"
"Agreeableness_8","Agreeableness",0.516,0.871,"llm_src_vs_llm_tgt"
"Agreeableness_9","Agreeableness",0.514,0.8715,"llm_src_vs_llm_tgt"
"Agreeableness_10","Agreeableness",0.498,0.8755,"llm_src_vs_llm_tgt"
"Agreeableness_11","Agreeableness",0.472,0.882,"llm_src_vs_llm_tgt"
"Agreeableness_12","Agreeableness",0.472,0.882,"llm_src_vs_llm_tgt"
"Conscientiousness_1","Conscientiousness",0.528,0.868,"llm_src_vs_llm_tgt"
"Conscientiousness_2","Conscientiousness",0.476,0.881,"llm_src_vs_llm_tgt"
"Conscientiousness_3","Conscientiousness",0.518,0.8705,"llm_src_vs_llm_tgt"
"Conscientiousness_4","Conscientiousness",0.536,0.866,"llm_src_vs_llm_tgt"
"Conscientiousness_5","Conscientiousness",0.524,0.869,"llm_src_vs_llm_tgt"
"Conscientiousness_6","Conscientiousness",0.554,0.8615,"llm_src_vs_llm_tgt"
"Conscientiousness_7","Conscientiousness",0.596,0.851,"llm_src_vs_llm_tgt"
"Conscientiousness_8","Conscientiousness",0.552,0.862,"llm_src_vs_llm_tgt"
"Conscientiousness_9","Conscientiousness",0.506,0.8735,"llm_src_vs_llm_tgt"
"Conscientiousness_10","Conscientiousness",0.574,0.8565,"llm_src_vs_llm_tgt"
"Conscientiousness_11","Conscientiousness",0.536,0.866,"llm_src_vs_llm_tgt"
"Conscientiousness_12","Conscientiousness",0.58,0.855,"llm_src_vs_llm_tgt"
"Neuroticism_1","Neuroticism",0.516,0.871,"llm_src_vs_llm_tgt"
"Neuroticism_2","Neuroticism",0.556,0.861,"llm_src_vs_llm_tgt"
"Neuroticism_3","Neuroticism",0.598,0.8505,"llm_src_vs_llm_tgt"
"Neuroticism_4","Neuroticism",0.556,0.861,"llm_src_vs_llm_tgt"
"Neuroticism_5","Neuroticism",0.388,0.903,"llm_src_vs_llm_tgt"
"Neuroticism_6","Neuroticism",0.52,0.87,"llm_src_vs_llm_tgt"
"Neuroticism_7","Neuroticism",0.492,0.877,"llm_src_vs_llm_tgt"
"Neuroticism_8","Neuroticism",0.57,0.8575,"llm_src_vs_llm_tgt"
"Neuroticism_9","Neuroticism",0.56,0.86,"llm_src_vs_llm_tgt"
"Neuroticism_10","Neuroticism",0.592,0.852,"llm_src_vs_llm_tgt"
"Neuroticism_11","Neuroticism",0.546,0.8635,"llm_src_vs_llm_tgt"
"Neuroticism_12","Neuroticism",0.568,0.858,"llm_src_vs_llm_tgt"
"Openness_1","Openness",0.518,0.8705,"llm_src_vs_llm_tgt"
"Openness_2","Openness",0.544,0.864,"llm_src_vs_llm_tgt"
"Openness_3","Openness",0.6,0.85,"llm_src_vs_llm_tgt"
"Openness_4","Openness",0.578,0.8555,"llm_src_vs_llm_tgt"
"Openness_5","Openness",0.596,0.851,"llm_src_vs_llm_tgt"
"Openness_6","Openness",0.546,0.8635,"llm_src_vs_llm_tgt"
"Openness_7","Openness",0.594,0.8515,"llm_src_vs_llm_tgt"
"Openness_8","Openness",0.528,0.868,"llm_src_vs_llm_tgt"
"Openness_9","Openness",0.582,0.8545,"llm_src_vs_llm_tgt"
"Openness_10","Openness",0.546,0.8635,"llm_src_vs_llm_tgt"
"Openness_11","Openness",0.56,0.86,"llm_src_vs_llm_tgt"
"Openness_12","Openness",0.56,0.86,"llm_src_vs_llm_tgt"
